S.No,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
1573,Hyundai Verna 1.6 CRDI,Kolkata,2014,32000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5,,4.3
1619,Hyundai Verna 1.6 SX,Chennai,2012,128000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,5
1805,Hyundai Verna 1.6 SX,Coimbatore,2014,83558,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.98
1959,Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,2018,75000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,,7.75
2008,Hyundai Verna 1.6 CRDi EX MT,Kochi,2016,37451,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5,,6.64
2187,Hyundai Verna 1.6 SX,Chennai,2012,92000,Diesel,Manual,Third,22.32 kmpl,1582 CC,126.32 bhp,5,,4
2341,Hyundai Verna 1.6 SX CRDI (O) AT,Jaipur,2014,97000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,,8
2359,Hyundai Verna 1.6 SX CRDi (O),Kolkata,2013,47000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,4.35
2566,Hyundai Verna 1.6 SX,Delhi,2011,103814,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5,,4.5
2692,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,48000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,,5.1
2694,Hyundai Verna 1.6 SX,Delhi,2014,62000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,5.7
2819,Hyundai Verna 1.6 SX CRDi (O),Kochi,2016,16159,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,7.83
3024,Hyundai Verna 1.6 SX,Hyderabad,2014,39791,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,7.49
3175,Hyundai Verna 1.6 SX,Kolkata,2011,34994,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,3.9
3258,Hyundai Verna 1.6 CRDi EX AT,Pune,2013,114000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.3 bhp,5,,6.75
3358,Hyundai Verna 1.6 SX,Hyderabad,2012,65000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.2
3495,Hyundai Verna 1.6 SX,Hyderabad,2012,83678,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,5.5
3777,Hyundai Verna 1.6 SX CRDi (O),Ahmedabad,2012,52000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.5
4024,Hyundai Verna 1.6 SX CRDi (O),Kolkata,2014,58000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,5.75
4178,Hyundai Verna 1.6 SX,Hyderabad,2012,65254,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.55
4179,Hyundai Verna 1.6 SX,Bangalore,2014,95000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5,,6.9
4183,Hyundai Verna 1.6 CRDI,Jaipur,2011,72000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5,,5
4284,Hyundai Verna 1.6 SX CRDI (O) AT,Pune,2014,57539,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,,7.75
4618,Hyundai Verna 1.6 SX CRDi (O),Hyderabad,2013,48158,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.7
4804,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2013,69573,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5,,5.85
5085,Hyundai Verna 1.6 SX,Kochi,2015,60519,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.24
5132,Hyundai Verna 1.6 SX,Delhi,2011,67000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,3.8
5237,Hyundai Verna 1.6 SX CRDi (O),Chennai,2012,45000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.25
5419,Hyundai Verna 1.6 SX,Chennai,2013,85350,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5,,5.7
5722,Hyundai Verna 1.6 SX CRDi (O),Pune,2012,89000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6
5921,Hyundai Verna 1.6 SX,Kochi,2012,58646,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,4.74
5974,Hyundai Verna 1.6 CRDi EX MT,Kolkata,2013,53280,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5,,4.7
10,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,,1.95
449,Tata Indica Vista Quadrajet LS,Hyderabad,2014,67000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5
1415,Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5
2508,Tata Indica Vista Quadrajet VX,Hyderabad,2012,137800,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.2
2621,Tata Indica Vista Quadrajet LS,Pune,2014,180000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.5
3264,Tata Indica Vista Quadrajet LS,Kolkata,2012,80000,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,,1.2
4184,Tata Indica Vista Quadrajet VX,Chennai,2012,120000,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,,2.6
4635,Tata Indica Vista Quadrajet 90 ZX Plus,Delhi,2012,27000,Diesel,Manual,First,22.3 kmpl,1248 CC,88.8 bhp,5,,3.5
5785,Tata Indica Vista Quadrajet VX,Hyderabad,2013,99500,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,,3.05
5961,Tata Indica Vista Quadrajet VX,Hyderabad,2012,110000,Diesel,Manual,First,22.3 kmpl,1248 CC,74 bhp,5,,2.8
70,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,11.81 Lakh,10.5
1481,Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1 kmpl,1248 CC,74 bhp,5,,2.48
2831,Chevrolet Sail Hatchback LS ABS,Kolkata,2013,45000,Diesel,Manual,First,22.1 kmpl,1248 CC,76.9 bhp,5,,3
2517,Maruti SX4 Green Vxi (CNG),Mumbai,2014,53000,CNG,Manual,First,22.1 km/kg,1586 CC,85.7 bhp,5,,3.26
3723,Maruti SX4 Green Vxi (CNG),Kochi,2015,61000,CNG,Manual,First,22.1 km/kg,1586 CC,85.7 bhp,5,,3.89
40,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,5
97,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.79
157,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.5
185,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.2
233,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.6
485,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.75
618,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.9
673,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.65
800,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.1
827,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.25
975,Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2013,68000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5,,4.8
1022,Volkswagen Polo Diesel Highline 1.2L,Chennai,2013,60000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.75
1052,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2014,35000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.8
1287,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.85
1404,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.5
1405,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.59
1682,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2014,30000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.25
1740,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2014,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,5.7
2033,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66035,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.49
2374,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2012,74000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5,,2.65
2961,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2014,62000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5,,4.25
3048,Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.99
3421,Volkswagen Polo Diesel Highline 1.2L,Pune,2010,39000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.05
3719,Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,77445,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.75
4083,Volkswagen Polo Diesel Trendline 1.2L,Hyderabad,2013,86300,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.5
4101,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2012,94000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.5
4202,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2011,77000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.9
4207,Volkswagen Polo Diesel Comfortline 1.2L,Coimbatore,2015,46190,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,5.86
4541,Volkswagen Polo Diesel Comfortline 1.2L,Pune,2010,84000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5,,2.89
4642,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2010,90110,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.5
5077,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2013,45000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.25
5152,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2012,107023,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.9
5170,Volkswagen Polo Diesel Trendline 1.2L,Hyderabad,2012,72003,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.9
5204,Volkswagen Polo Diesel Highline 1.2L,Chennai,2017,26969,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,6.9
5301,Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2012,60000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4
5578,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2012,55339,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.65
5579,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,55476,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.49
5677,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,2.49
5837,Volkswagen Polo Diesel Comfortline 1.2L,Bangalore,2012,78500,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.65
123,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.44 Lakh,10.95
143,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,5.43
262,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.07 Lakh,2.6
527,Maruti Swift VXI,Kochi,2019,20667,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,6.37
715,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5,10.34 Lakh,8.5
885,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.3 Lakh,2.7
1098,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.57 Lakh,6.01
1189,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.72 Lakh,5.9
1370,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,14.07 Lakh,2.5
1593,Maruti Swift VVT VXI,Pune,2016,27755,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,,5.45
1799,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7 Lakh,5.1
1889,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,First,22.0 kmpl,1498 CC,108.495 bhp,5,,8.89
2603,Hyundai EON Magna,Pune,2015,55000,Petrol,Manual,First,22.0 kmpl,814 CC,55 bhp,5,,2.61
2608,Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.72 Lakh,11.5
2978,Maruti Dzire VXI,Hyderabad,2013,34900,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.97 Lakh,5.49
3003,Maruti Swift VXI,Pune,2010,68000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,6.99 Lakh,2.8
3869,Hyundai EON Magna,Ahmedabad,2014,47000,Petrol,Manual,First,22.0 kmpl,814 CC,55 bhp,5,,2.65
4347,Maruti Swift ZXI Plus,Ahmedabad,2018,2000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,8.16 Lakh,7.75
4363,Hyundai EON Magna,Jaipur,2016,27886,Petrol,Manual,First,22.0 kmpl,814 CC,55 bhp,5,,2.85
4962,Maruti Dzire AMT ZXI Plus,Coimbatore,2019,8018,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5,10.26 Lakh,8.3
4974,Hyundai Verna CRDi 1.6 SX Option,Hyderabad,2008,109606,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.59 Lakh,2.9
5091,Hyundai Verna CRDi 1.6 SX Option,Mumbai,2013,79225,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.57 Lakh,5.5
5189,Hyundai Verna CRDi 1.6 AT SX Plus,Bangalore,2012,79000,Diesel,Automatic,First,22.0 kmpl,1582 CC,126.2 bhp,5,16.6 Lakh,5.25
5309,Maruti Dzire VXI,Pune,2013,74000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.67 Lakh,4.5
5416,Maruti Dzire AMT VXI,Chennai,2017,42000,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5,8.13 Lakh,5.5
5705,Volkswagen Ameo 1.5 TDI Comfortline AT,Jaipur,2017,54455,Diesel,Automatic,First,22.0 kmpl,1498 CC,108.495 bhp,5,,6.5
125,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,3.23
287,Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,2013,46000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,,3.11
637,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7,15.45 Lakh,10.79
657,Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,2.8
741,Tata Nano XTA,Coimbatore,2016,24941,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,3.19
1239,Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,2014,12400,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,,4.65
1323,Tata Nano XTA,Coimbatore,2016,5240,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,3.6
1957,Hyundai i20 1.4 CRDi Magna,Hyderabad,2011,75000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,3.75
1990,Hyundai i20 1.4 CRDi Magna,Hyderabad,2012,71360,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,3.95
2133,Hyundai i20 1.4 CRDi Magna,Jaipur,2012,51000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,3.9
2184,Hyundai i20 1.4 CRDi Magna,Kolkata,2012,60000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,2.74
2245,Hyundai i20 Magna 1.4 CRDi,Kochi,2015,64399,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,5.02
2397,Hyundai i20 2015-2017 1.4 Magna ABS,Pune,2012,64000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,4.25
2425,Hyundai i20 Magna 1.4 CRDi (Diesel),Jaipur,2013,51873,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,3.9
2767,Hyundai i20 Magna 1.4 CRDi (Diesel),Hyderabad,2017,14061,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,7.4
2977,Hyundai i20 1.4 CRDi Magna,Hyderabad,2010,94500,Diesel,Manual,Second,21.9 kmpl,1396 CC,90 bhp,5,,3.1
3109,Hyundai i20 Magna Optional 1.4 CRDi,Ahmedabad,2012,55362,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,,4.25
3346,Hyundai i20 1.4 CRDi Magna,Kolkata,2011,38277,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,2.4
3349,Hyundai i20 Magna 1.4 CRDi,Ahmedabad,2014,64000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,4.25
3361,Hyundai i20 Magna Optional 1.4 CRDi,Chennai,2012,70000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,,4
3666,Tata Nano XTA,Coimbatore,2017,18351,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,3.41
3805,Hyundai i20 Magna 1.4 CRDi (Diesel),Kolkata,2015,45000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,3.45
4003,Hyundai i20 Sportz 1.4 CRDi,Bangalore,2013,60000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,5.45
4009,Hyundai i20 Sportz 1.4 CRDi,Kolkata,2013,25500,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,3.55
4020,Hyundai i20 Sportz 1.4 CRDi,Jaipur,2013,70933,Diesel,Manual,Second,21.9 kmpl,1396 CC,88.76 bhp,5,,3.9
4085,Hyundai i20 Sportz 1.4 CRDi,Ahmedabad,2016,74000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,6.5
4440,Hyundai i20 Sportz 1.4 CRDi,Hyderabad,2015,72495,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,7
4501,Tata Nano XTA,Bangalore,2016,29000,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,,2.8
4678,Hyundai i20 Sportz 1.4 CRDi,Pune,2012,49700,Diesel,Manual,Second,21.9 kmpl,1396 CC,88.76 bhp,5,,4.18
4882,Hyundai i20 Sportz 1.4 CRDi,Bangalore,2012,68000,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,4.4
5264,Hyundai i20 1.4 CRDi Magna,Kolkata,2013,60000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,,2.95
5378,Tata Nano XTA,Bangalore,2016,17800,Petrol,Automatic,Second,21.9 kmpl,624 CC,37.48 bhp,4,,2.38
5823,Hyundai i20 Magna Optional 1.4 CRDi,Delhi,2013,64500,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,5,,3.65
5934,Hyundai i20 Magna 1.4 CRDi (Diesel),Kochi,2014,53340,Diesel,Manual,First,21.9 kmpl,1396 CC,88.76 bhp,5,,4.35
2792,Renault Fluence Diesel E4,Delhi,2012,87510,Diesel,Manual,First,21.8 kmpl,1461 CC,78 bhp,5,,3.49
5491,Renault Fluence Diesel E4,Pune,2013,57000,Diesel,Manual,First,21.8 kmpl,1461 CC,78 bhp,5,,4.61
2159,Maruti SX4 ZDI,Ahmedabad,2014,58000,Diesel,Manual,First,21.79 kmpl,1248 CC,88.73 bhp,5,,4.5
150,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,60.88 Lakh,26.5
349,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5,58.67 Lakh,25.99
414,BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,60.88 Lakh,25.5
459,BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,62.07 Lakh,36.5
3582,BMW 3 Series Luxury Line,Ahmedabad,2016,27000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,55.07 Lakh,35
3707,BMW 3 Series Luxury Line,Mumbai,2016,31000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,60.88 Lakh,29.95
4555,BMW 3 Series Luxury Line,Pune,2016,70000,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5,62.11 Lakh,27
4796,BMW 3 Series Luxury Line,Kochi,2018,21936,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,58.67 Lakh,37.92
5305,BMW 3 Series Luxury Line,Bangalore,2017,21000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,62.07 Lakh,35
5421,BMW 3 Series Sport,Mumbai,2016,19000,Diesel,Automatic,Second,21.76 kmpl,1995 CC,190 bhp,5,57.3 Lakh,29.99
5569,BMW 3 Series Luxury Line,Coimbatore,2017,34232,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,55.07 Lakh,35.84
1532,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,Diesel,Automatic,First,21.72 kmpl,1498 CC,108.4 bhp,5,15.34 Lakh,10.5
879,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.78 Lakh,3.25
1755,Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.98 Lakh,4.25
2852,Renault KWID 1.0 RXT Optional,Kochi,2018,18335,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.61 Lakh,4.5
2860,Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,5.3 Lakh,4.8
4634,Renault KWID 1.0 RXT Optional,Jaipur,2016,26000,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.78 Lakh,3
154,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,9.86
826,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,10.04 Lakh,6.45
970,Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,7.25
1495,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,9.19 Lakh,5.8
1981,Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,45000,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,4.25
2659,Skoda Rapid 1.5 TDI AT Elegance,Kochi,2015,66122,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,5.96
2723,Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,9.72 Lakh,7.9
2882,Skoda Rapid 1.5 TDI AT Elegance,Coimbatore,2016,46630,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,8.59
4060,Skoda Rapid 1.5 TDI AT Elegance Plus,Hyderabad,2015,34000,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,7.99
5022,Skoda Rapid 1.5 TDI AT Elegance,Delhi,2015,55000,Diesel,Automatic,Second,21.66 kmpl,1498 CC,103.52 bhp,5,,5.7
5351,Volkswagen Ameo 1.5 TDI Highline,Pune,2016,20000,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,10.04 Lakh,6.75
889,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,4.25
1521,Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,4.5
1898,Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,4
2017,Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,70000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,2.59
